Central Connecticut State,NEC
Portland,WCC
Valparaiso,MVC
Bucknell,Patriot
Old Dominion,Sun Belt
Niagara,MAAC
Georgia Southern,Sun Belt
New Mexico State,CUSA
Maryland-Baltimore County,AEC
Howard,MEAC
Southern,SWAC
Queens (NC),A-Sun
Western Illinois,OVC
American,Patriot
SIU Edwardsville,OVC
Texas Southern,SWAC
Northern Illinois,MAC
Binghamton,AEC
Western Michigan,MAC
Chicago State,Ind
South Carolina Upstate,Big South
Robert Morris,Horizon
Grambling,SWAC
Tennessee State,OVC
Jacksonville,A-Sun
Sacred Heart,NEC
Boston University,Patriot
Louisiana-Monroe,Sun Belt
Coastal Carolina,Sun Belt
Delaware State,MEAC
Campbell,CAA
Wagner,NEC
Sacramento State,Big Sky
Le Moyne,NEC
Lafayette,Patriot
Idaho,Big Sky
Southeastern Louisiana,Southland
William & Mary,CAA
Elon,CAA
Jackson State,SWAC
Alcorn State,SWAC
Eastern Illinois,OVC
Navy,Patriot
Alabama State,SWAC
Bellarmine,A-Sun
South Carolina State,MEAC
Bethune-Cookman,SWAC
Charleston Southern,Big South
Northern Arizona,Big Sky
South Dakota,Summit
Eastern Michigan,MAC
Texas-Rio Grande Valley,WAC
Southern Indiana,OVC
Cal Poly,Big West
Dartmouth,Ivy
Alabama A&M,SWAC
FDU,NEC
Northwestern State,Southland
East Texas A&M,Southland
NJIT,AEC
Army,Patriot
Tennessee Tech,OVC
Buffalo,MAC
Manhattan,MAAC
Prairie View,SWAC
Arkansas-Pine Bluff,SWAC
Central Arkansas,A-Sun
Florida A&M,SWAC
Hampton,CAA
Morgan State,MEAC
Loyola (MD),Patriot
North Carolina A&T,CAA
Incarnate Word,Southland
New Orleans,Southland
Detroit Mercy,Horizon
Holy Cross,Patriot
Maryland-Eastern Shore,MEAC
Pacific,WCC
Long Island University,NEC
Southeast Missouri State,OVC
Saint Francis (PA),NEC
Lindenwood,OVC
Siena,MAAC
Houston Christian,Southland
Stonehill,NEC
VMI,Southern
IU Indy,Horizon
Coppin State,MEAC
Mississippi Valley State,SWAC
